,Name,Club,Year,Position,Nationality
0,Petr Cech,Arsenal,2018,Goalkeeper,Czech Republic
1,David Ospina,Arsenal,2018,Goalkeeper,Colombia
2,Dejan Iliev,Arsenal,2018,Goalkeeper,
3,Matt Macey,Arsenal,2018,Goalkeeper,England
4,Bernd Leno,Arsenal,2018,Goalkeeper,Germany
5,Emiliano Martinez,Arsenal,2018,Goalkeeper,Argentina
6,Hector Bellerin,Arsenal,2018,Defender,Spain
7,Per Mertesacker,Arsenal,2018,Defender,Germany
8,Laurent Koscielny,Arsenal,2018,Defender,France
9,Rob Holding,Arsenal,2018,Defender,England
10,Nacho Monreal,Arsenal,2018,Defender,Spain
11,Shkodran Mustafi,Arsenal,2018,Defender,Germany
12,Calum Chambers,Arsenal,2018,Defender,England
13,Konstantinos Mavropanos,Arsenal,2018,Defender,Greece
14,Sead Kolasinac,Arsenal,2018,Defender,Bosnia And Herzegovina
15,Jordi Osei-Tutu,Arsenal,2018,Defender,England
16,Stephan Lichtsteiner,Arsenal,2018,Defender,Switzerland
17,Carl Jenkinson,Arsenal,2018,Defender,England
18,Sokratis,Arsenal,2018,Defender,Greece
19,Zech Medley,Arsenal,2018,Defender,England
20,Julio Pleguezuelo,Arsenal,2018,Defender,Spain
21,Mohamed Elneny,Arsenal,2018,Midfielder,Egypt
22,Henrikh Mkhitaryan,Arsenal,2018,Midfielder,Armenia
23,Aaron Ramsey,Arsenal,2018,Midfielder,Wales
24,Mesut Ozil,Arsenal,2018,Midfielder,Germany
25,Alex Iwobi,Arsenal,2018,Midfielder,Nigeria
26,Santi Cazorla,Arsenal,2018,Midfielder,Spain
27,Ainsley Maitland-Niles,Arsenal,2018,Midfielder,England
28,Granit Xhaka,Arsenal,2018,Midfielder,Switzerland
29,Vlad Dragomir,Arsenal,2018,Midfielder,Romania
30,Charlie Gilmour,Arsenal,2018,Midfielder,Scotland
31,Joseph Willock,Arsenal,2018,Midfielder,England
32,Jeff Reine-Adelaide,Arsenal,2018,Midfielder,France
33,Lucas Torreira,Arsenal,2018,Midfielder,Uruguay
34,Matteo Guendouzi,Arsenal,2018,Midfielder,France
35,Emile Smith Rowe,Arsenal,2018,Midfielder,England
36,Denis Suarez,Arsenal,2018,Midfielder,Spain
37,Alexandre Lacazette,Arsenal,2018,Forward,France
38,Pierre-Emerick Aubameyang,Arsenal,2018,Forward,Gabon
39,Danny Welbeck,Arsenal,2018,Forward,England
40,Josh Dasilva,Arsenal,2018,Forward,England
