,Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
0,Marlon Harewood,2007,Forward,23,9,6,England,5,1,4,0,1,0.22,0,0,24,11,46,0,7,4,4,2,0,,,,,,,,,,,,,,0,131,5.7,0,12,,,,,2,0,19,4,,,,,,,,
1,Carlos Vela,2007,Forward,0,0,0,Mexico,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
2,Daniel Sturridge,2007,Forward,3,1,1,England,1,0,0,1,0,0.33,0,0,1,1,100,0,0,0,0,1,0,,,,,,,,,,,,,,0,41,13.67,0,2,,,,,0,0,1,3,,,,,,,,
3,Marc Edworthy,2007,Defender,9,0,6,England,0,0,0,0,0,,,,,,,,12,0,8,50,14,67,31,26,18,1,9,7,1,18,0,0,0,0,0,166,18.44,0,6,50,1,10,,1,0,6,0,,,,,,,,
4,Kevin Davies,2007,Forward,32,7,16,England,3,0,1,2,1,0.09,0,0,48,22,46,0,79,9,22,51,18,,,,,,,,,,,,,,4,1014,31.69,0,55,,,,,10,0,95,18,,,,,,,,
5,Arjen Robben,2007,Midfielder,0,0,0,Netherlands,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
6,Stephen Ireland,2007,Midfielder,33,12,12,Ireland,4,0,4,0,0,0.12,0,0,38,13,34,0,94,10,64,30,2,80,123,128,137,11,4,14,,,,0,,,4,1138,34.48,0,43,14,13,53,,1,1,24,8,,,,,,,,
7,Sanchez Watt,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
8,John Pantsil,2007,Defender,14,5,6,Ghana,0,0,0,0,0,,,,,,,,21,3,15,57,15,76,34,55,50,10,11,9,0,14,0,0,0,0,0,306,21.86,0,17,6,0,22,,5,0,10,0,,,,,,,,
9,Jamie Clarke,2007,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
10,Stephen Bywater,2007,Goalkeeper,18,1,13,England,,,,,,,,,,,,,,,,,,,,,,,,,2,41,0,2,,,0,458,25.44,,,,,191,0,1,0,0,,62,0,14,22,27,0,49,181
11,Sebastián Leto,2007,Midfielder,0,0,0,Argentina,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
12,Sylvain Distin,2007,Defender,36,15,13,France,0,0,0,0,0,,,,,,,,93,3,65,580,187,82,176,214,90,17,77,37,15,39,1,0,0,0,1,908,25.22,0,13,38,0,101,,4,0,24,1,,,,,,,,
13,Mark Viduka,2007,Forward,26,9,8,Australia,7,1,5,1,0,0.27,0,0,35,15,43,0,22,10,5,14,4,,,,,,,,,,,,,,1,553,21.27,0,10,,,,,0,0,27,18,,,,,,,,
14,Darius Vassell,2007,Forward,27,8,11,England,6,1,3,2,0,0.22,0,0,31,11,35,0,37,6,13,17,3,,,,,,,,,,,,,,3,467,17.3,0,45,,,,,2,0,35,16,,,,,,,,
