Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Ritchie de Laet,2011,Defender,6,1,3,Belgium,1,1,0,0,0,,,,,,,,20,0,10,42,7,75,12,34,18,2,10,10,0,7,0,2,1,1,0,142,23.67,0,3,33,0,10,,1,0,7,0,,,,,,,,
Carlos Vela,2011,Forward,0,0,0,Mexico,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Haris Vuckic,2011,Forward,4,1,2,Slovenia,0,0,0,0,1,0.0,0,0,6,1,17,0,2,1,6,2,1,,,,,,,,,,,,,,0,72,18.0,0,5,,,,,0,0,4,0,,,,,,,,
Daniel Sturridge,2011,Forward,30,13,9,England,11,2,4,5,1,0.37,0,0,93,32,34,10,8,21,17,7,1,,,,,,,,,,,,,,3,702,23.4,3,61,,,,,3,0,11,6,,,,,,,,
Kevin Davies,2011,Forward,31,7,18,England,6,2,4,0,1,0.19,0,0,41,16,39,6,35,9,17,33,8,,,,,,,,,,,,,,2,901,29.06,2,11,,,,,3,0,58,14,,,,,,,,
Marouane Chamakh,2011,Forward,11,3,4,Morocco,1,1,0,0,0,0.09,0,0,8,2,25,2,6,1,1,5,2,,,,,,,,,,,,,,0,79,7.18,0,2,,,,,0,0,1,0,,,,,,,,
Elvijs Putnins,2011,Goalkeeper,0,0,0,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
David de Gea,2011,Goalkeeper,29,20,4,Spain,,,,,,,,,,,,,,,,,,,,,,,,,13,29,0,2,,,0,545,18.79,,,,,131,0,0,0,0,,102,1,21,27,22,6,124,264
Stephen Ireland,2011,Midfielder,24,4,9,Ireland,1,0,0,1,0,0.04,0,0,19,6,32,1,54,3,62,14,3,80,121,80,84,3,6,18,,,,0,,,3,774,32.25,3,22,27,12,25,,2,0,24,6,,,,,,,,
Alberto Aquilani,2011,Midfielder,0,0,0,Italy,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
